text,stars,sentiment
Ürün matlaştırıcı baz olarak geçiyor ama matlaştırma namına hiçbir verim elde edemedim. Karma ciltliyim ve ürünü daha çok T bölgeme uyguladım. Daha net bir sonuç için alta güneş kremi bile sürmedim. 1 saatte kalmadan özellikle alnım ve burnum parıl parıl parlamaya ve yağlanma yapmaya başladı. Ürünü çok başarısız buldum.,1,Negatif
Öncelikle gönderilen ürünün mikatarının az olması sebebiyle sadece bir kez deneyebildim. Çok yağlı ve yapışkan hissettirdi. Göz makyajım bu yapışkanlık sebebiyle dağıldı-göz kırparken eye linerım şerit iz bıraktı. Hiç kullanmadığımda makyajım daha sabit oluyor.,1,Negatif
Tek kullanimlik urun.gonderdiginiz icin fazla deneme anlama sansim yoktu o yuzden verdigim cevap olumsuz oldu.Sadece sunu soyleyebilirim kokusu ve cillte emilimi guzel,1,Negatif
Nemlendirici açısından çok güzel. Fakat fazla uygulandığında makyajın görüntüsünü bozabiliyor miktara dikkt etmek lazım :),1,Pozitif
Ürün içerik olarak temiz bir yapıya sahip değil. Ayrıca nemlendirme özelliği de kuru ciltler için yeterli gelmeyebilir.,1,Negatif
Kremden hiç memnun kalmadım çünkü çok yapışkan bir krem. Makyaj yaptıkça altan kusma yaptı bu yüzden ürünü satın almam,1,Negatif
ürünü yüzüme sürdükten sonra yüzümde tuhaf yapışkan bir his bıraktı kokusuda bana göre çok keskindi,1,Negatif
Çok net bir yorum yapamıyorum açıkçası sadece su bazlı ve yağlanma yapmayan bir bazdı.,1,Pozitif
"Bazın üzerine fondöteni sürerken baz tabakası soyulmaya başladı, çok kötüydü.",1,Negatif
Makyaj bazı değil nemlendirici krem gibi. Makyaj bazı olarak düşünüp almam.,1,Negatif
Ürünü daha önce hiç kullanmamıştım. Denemem için yollanan ürün de o kadar küçük ve içinde o kadar az vardı ki bütün cildim için yetmedi bile. Kokusu çok hoş fakat yüzüme parfüm sürüyormuş gibi hissettim :( Tek sevdiğim yönü hemen emilmesiydi. Pek memnun kaldığımı söyleyemeyeceğim. Çünkü ne cilt tonumu eşitledi ne de makyajımın uzun süre dayanmasını sağladı. Her cilt tipi için etkili olmadığını düşünüyorum.,2,Negatif
Genel olarak çok ürün kullanarak makyaj yapmıyorum fakat yine de bir etkisini göremedim. Parlamayı engelleyemiyor. Karma cilt için en azından matlaştırma konusunda yetersiz kalıyor. Gün içinde kullandığım ürünler zaten akma yapmadığı için sabitleme ile ilgili bir etkisini de gözlemleyemedim. Uzun bir süre deneyimlemek gerekiyor bence.,2,Negatif
"Suratıma çok fazla şey sürmediğim için de olabilir ama ürün sürekli kendini hissettirmesi rahatsız ediciydi. Makyajı daha iyi tuttuğu ve daha iyi gösterdiği kesin. Yoğun nemlendirme özelliği de var.
Makyajım güzel gözüksün yeter diyorsanız kesinlikle deneyin ancak biraz konforsuz",2,Pozitif
makyaj bazı olarak 1-2 saatlik kullanıma hitap ediyor. gün boyu kalıcılık sağlayan bir etkisi yok gibi geldi bana. gözenekleri kapamaması ve verdiği kadifemsi his güzel ama bir süre sonra hafif bi parlama başlıyor. makyaj bazı alacak olsam tercih edeceğim bir ürün olmazdı.,2,Negatif
ciltte kolay ve hızlıca emiliyor. günlük kullandığım nemlendiricimle aynı oranda nemendirdi. yüzü makyaja pek hazırladığı  söylenemez. aynı şekilde makyajın uzun süre yüzde kalmasına da etki etmiyor. daha uygun fiyatlı yüz nemlendiricisi almak daha mantıklı olucaktır.,2,Negatif
Ben bu ürünü makyajla denemedim. Günlük nemlendirici olarak kullandım ve tabiri caizse şıpır şıpır oldu yüzüm. Sıcakta yürüdüm normalde bu kadar ıslak olmaz yüzüm ama bu ürünü kullanınca ciddi anlamda çok ıslak ve parlak göründü. Yağlı his bıraktı.,2,Negatif
Basit bir urun. Benim cildin yağlı bir cilt. Makyaj yapınca kısa bir süre sonra parlama yapıyor bu ürünü kullandım herhangi bir değişiklik olmadı. Yüzme nemlendirici sürmüşüm etkisi yarattı. Özellikle alıp kullanabileceğim bir urun değil,2,Negatif
Jel yapıda olmasını çok sevmedim ama kolay emiliyor. Makyajım kalıcılığını korudu ama yüzümde üründen kaynaklı mi emin değilim ama parlama oldu matlaştırıcı etkisini göremedim.Bu ürün yerine normal nemlendirici kullanmaya devam ederim.,2,Negatif
Pek memnun kalamamakla birlikte memnun kaldığım bir yönü oldu cildi gerçekten güzel bir şekilde nemlendiriyor ama alıştığım bir nemlendirici var olduğu için ve çok memnun kaldığım için ondan tercih etmem.,2,Pozitif
"Ürünün içerik listesini incelediğimde, kullanmak istemeyeceğim bir liste vardı. İlk sürüldüğünde matlaştırsa da yarım saat içerisinde cildin sebumu tekrar ortaya çıkmaya başladı.",2,Negatif
"Öncelikle bu ürünü cildinize uyguladığınızda ciltte hızlı emilmesi söz konusu değil.hatta ilk bir iki saat yüzünüzde ince bir jelatin katman hissediyorsunuz. ancak 3.ve 4. saatlerde ciltte tamamen emildikten sonra cildinizde çok hoş bir yumuşaklık ve hafiflik hissediyorsunuz. 
makyaj için hemen sürüp hemen cilt ürünleri özellikle fondoten uygulayacaksanız fırça yada sünge izleri belli oluyor.sabir bir görünüm elde edemiyorsunuz.
ama tamamen emilim sağlanıp cildinize uygularsanızda baz görevini göremiyorsunuz. 
işin kısacası makyaj altı bazı değilde nemlendirici olarak kullanmak benim daha hoşuma gitti. ciltte yarattığı hafiflik hissini çok sevdim.",3,Pozitif
"Diğer makyaj bazına oranla bu ürünü daha çok sevdim. İçerikleri sanırım aynı o yüzden yine temiz değil. Bu ürün gerçekten makyajınızı iyileştirme adına bir şeyler yapıyor. Çok güzel bir matlık sağlıyor cilde özellikle yağlı cildiniz varsa ve parlama sorunları yaşıyorsanız bu sorunlara çözüm olabilir. Nemlendirme konusunda dediğim gibi yine ortalama bir nemlendirici ne kadar performans gösteriyorsa o kadar nemlendiriyor, yani iyi denilebilir. Matlık sağladığı için makyajınız gün içinde yağlanma sonucu kayma yapmıyor. Ben ilk çıktığında almıştım içerik olarak çok sevdiğim ürün değil. Ama vaatlerini karşılıyor.",3,Pozitif
